country,t,USD,USD/t,category
China,17533590,8879528000,506.4295447,c
Indonesia,9746100,992849000,101.8714152,b
"Korea, Republic of",1761224,764057000,433.8215923,b
Philippines,1415321,164591000,116.2923464,b
"Korea, Democratic People's Republic of",553000,83100000,150.2712477,b
Japan,406500,890615000,2190.934809,c
Malaysia,202966,10383000,51.15635131,a
United Republic of Tanzania,117610,2209000,18.78241646,a
Madagascar,17407,2793000,160.4526914,b
Chile,16799,41527000,2471.99238,c
Solomon Islands,10600,336000,31.69811321,a
Viet Nam,10282,1264000,122.9332815,b
Papua New Guinea,4300,202000,46.97674419,a
Kiribati,3650,196000,53.69863014,a
Cambodia,2200,440000,200,b
India,2000,61000,30.5,a
Russia,1517,1820000,1199.736322,c
Timor-Leste,1500,150000,100,b
South Africa,862,175000,203.0162413,b
Taiwan,839,2919000,3479.141836,c
Sri Lanka,692,454000,656.0693642,c
Fiji,550,55000,100,b
Kenya,400,9000,22.5,a
Burma,171,5000,29.23976608,a
Greece,152,1816000,11947.36842,c
Norway,149,84000,563.7583893,c
Namibia,130,59000,453.8461538,b
Others,352,2465000,7002.840909,c
Total,31810863,11844163000,372.3307664,b